0,77
20,104
44,128
56,140
56,140
56,140
56,140
56,140
77,165
104,194
128,215
140,230
140,230
140,230
140,230
140,230
165,252
194,283
215,314
230,348
230,348
230,348
230,348
230,348
252,373
283,421
314,550
348,560
348,560
348,560
348,560
348,560
373,560
421,560
550,560
560,560
560,560
560,560
560,560
560,560
560,560
560,560
560,560
560,560
560,560
560,560
560,560
560,560
560,581
560,604
560,626
560,640
560,640
560,640
560,640
560,640
581,660
604,684
626,751
640,764
640,764
640,764
640,764
640,764
660,784
684,836
751,856
764,872
764,872
764,872
764,872
764,872
784,894
836,928
856,948
872,964
872,964
872,964
872,964
872,964
894,986
928,1014
948,1041
964,1052
964,1052
964,1052
964,1052
964,1052
986,1052
1014,1052
1041,1052
1052,1052
1052,1052
1052,1052
1052,1052
1052,1052
1052,1052
1052,1052
1052,1052
1052,1052
1052,1052
1052,1052
1052,1052
1052,1052
1052,1077
1052,1130
