EventId,EventTemplate,Occurrences
78996bdd,restart.,4
ba7eea3e,Stopping keytable: succeeded,1
c0393cd4,terminating,1
f0f15d83,xfs shutdown succeeded,1
dca49ef0,gpm shutdown succeeded,1
83308403,httpd shutdown succeeded,1
a17b99aa,Stopping squid:,1
8249d6b5,Squid Parent: child process 901 exited with status 0,1
f8ff1509,Stopping squid: succeeded,1
b717dcb2,sshd -TERM succeeded,1
b4c66d13,sendmail shutdown succeeded,1
f57a83e6,smbd shutdown succeeded,1
c89e9872,nmbd shutdown succeeded,1
bd167261,shutting down,1
6d0a0066,no longer listening on <*>#53,24
8d218b43,exiting,1
e697e623,named shutdown succeeded,1
18125aad,Received TERM or STOP signal... shutting down...,1
28a4242e,snmpd shutdown succeeded,1
ee665ed5,Exiting...,1
5f266c00,xinetd shutdown succeeded,1
bc58d29a,atd shutdown succeeded,1
1c424845,crond shutdown succeeded,1
8ce66722,identd shutdown succeeded,1
4498597f,automount -USR2 succeeded,1
95901a0d,"shutting down, path = /misc",1
a2790190,Exiting,1
a1bca92d,apmd shutdown succeeded,1
c4b9be2e,ntpd exiting on signal 15,1
3b19fca5,ntpd shutdown succeeded,1
d8595ace,1+0 records in,1
247ff452,1+0 records out,1
7bef2001,Saving random seed: succeeded,1
5094c608,"Caught signal 15, un-registering and exiting.",1
22d8ced3,rpc.statd shutdown succeeded,1
bd9326d4,portmap shutdown succeeded,1
65a6d07f,Kernel logging (proc) stopped.,1
b4bfecf1,Kernel log daemon terminating.,1
3acb8bf8,klogd shutdown succeeded,1
e2e2f763,syslogd startup succeeded,1
c4abea2c,klogd startup succeeded,1
88ed8793,"klogd 1.4-0, log source = /proc/kmsg started.",1
d2c8279d,Inspecting /boot/System.map-2.4.2-2,1
e052d25e,portmap startup succeeded,1
3878287f,Loaded 14301 symbols from /boot/System.map-2.4.2-2.,1
ef6e215a,Symbols match kernel version 2.4.2.,1
89e4f50c,Loaded 135 symbols from 4 modules.,1
1e9c30f4,Linux version 2.4.2-2 (root@porky.devel.redhat.com) (gcc version 2.96 20000731 (Red Hat Linux 7.1 2.96-79)) #1 Sun Apr 8 <*> EDT 2001,1
5cb4dcf4,BIOS-provided physical RAM map:,1
fc7d4e48,BIOS-e820:  @  (usable),2
c2dd52b6,BIOS-e820:  @  (reserved),4
89e41320,On node 0 totalpages: 32430,1
6ede9d1e,zone(0): 4096 pages.,1
7037596d,zone  has max  cached pages.,3
04229af8,zone(1): 28334 pages.,1
08cb21a6,rpc.statd startup succeeded,1
d80483c1,Version 0.3.1 Starting,1
41264989,zone(2): 0 pages.,1
84044e98,Kernel command line: auto BOOT_IMAGE=linux ro root=308 BOOT_FILE=/boot/vmlinuz-2.4.2-2,1
11ffa6be,Initializing CPU#0,1
22bc9187,Detected 730.971 MHz processor.,1
b07067dc,Loading keymap:,1
75194edc,Console: colour VGA+ 80x25,1
d1a0a9b2,Calibrating delay loop... 1458.17 BogoMIPS,1
fb9308b0,"Memory: 125148k/129720k available (1365k kernel code, 4188k reserved, 92k data, 236k init, 0k highmem)",1
ca600580,"Dentry-cache hash table entries: 16384 (order: 5, 131072 bytes)",1
cc73fd08,"Buffer-cache hash table entries: 4096 (order: 2, 16384 bytes)",1
dff121bc,"Page-cache hash table entries: 32768 (order: 6, 262144 bytes)",1
01bbcc03,"Inode-cache hash table entries: 8192 (order: 4, 65536 bytes)",1
fcc88c49,VFS: Diskquotas version dquot_6.5.0 initialized,1
8d7b117c,"CPU: Before vendor init, caps: 0383f9ff 00000000 00000000, vendor = 0",1
772cbfa7,Loading system font:,1
33127630,"CPU: L1 I cache: 16K, L1 D cache: 16K",1
875bf9ed,CPU: L2 cache: 256K,1
3797c3f8,Intel machine check architecture supported.,1
e47ddd81,Intel machine check reporting enabled on CPU#0.,1
1c5f6ebc,"CPU: After vendor init, caps: 0383f9ff 00000000 00000000 00000000",1
9e62b4f8,"CPU: After generic, caps: 0383f9ff 00000000 00000000 00000000",1
36fe0cdf,CPU: Common caps: 0383f9ff 00000000 00000000 00000000,1
8f3f5cf7,CPU: Intel Pentium III (Coppermine) stepping 06,1
6840ff9f,Enabling fast FPU save and restore... done.,1
136e80b1,Starting keytable: succeeded,1
8d0b0805,Enabling unmasked SIMD FPU exception support... done.,1
8177bcff,Checking 'hlt' instruction... OK.,1
cb7aa6e4,POSIX conformance testing by UNIFIX,1
1a67ac58,mtrr: v1.37 (20001109) Richard Gooch (rgooch@atnf.csiro.au),1
26533662,mtrr: detected mtrr type: Intel,1
8630412f,"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",1
05be387f,PCI: Using configuration type 1,1
01e69759,PCI: Probing PCI hardware,1
812e1982,PCI: Using IRQ router PIIX [8086/2410] at 00:1f.0,1
7681522b,isapnp: Scanning for PnP cards...,1
f73b80ae,isapnp: No Plug & Play device found,1
9d674399,Linux NET4.0 for Linux 2.4,1
84aff520,Based upon Swansea University Computer Society NET3.039,1
0a98e7aa,Initializing RT netlink socket,1
39852002,apm: BIOS version 1.2 Flags 0x03 (Driver version 1.14),1
cf4b0f97,Starting kswapd v1.8,1
eab938ce,pty: 256 Unix98 ptys configured,1
fc001f52,"block: queued sectors max/low 83026kB/27675kB, 256 slots per queue",1
2bb5d19d,RAMDISK driver initialized: 16 RAM disks of 4096K size 1024 blocksize,1
af67a9fa,Uniform Multi-Platform E-IDE driver Revision: 6.31,1
7e77542a,ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=xx,1
9f45ab13,Initializing random number generator: succeeded,1
73a32f95,PIIX4: IDE controller on PCI bus 00 dev f9,1
56b86166,PIIX4: chipset revision 2,1
038b422e,PIIX4: not 100%% native mode: will probe irqs later,1
523917e5,"ide0: BM-DMA at 0xffa0-0xffa7, BIOS settings: hda:DMA, hdb:pio",1
8ea7806f,"ide1: BM-DMA at 0xffa8-0xffaf, BIOS settings: hdc:DMA, hdd:pio",1
3fc2f5b5,"hda: IBM-DTLA-307015, ATA DISK drive",1
fb9cdc6b,"hdc: SAMSUNG CD-ROM SN-124, ATAPI CD/DVD-ROM drive",1
eaa372d7,"ide0 at 0x1f0-0x1f7,0x3f6 on irq 14",1
0a7c37c3,"ide1 at 0x170-0x177,0x376 on irq 15",1
aa6ed69c,"hda: 29336832 sectors (15020 MB) w/1916KiB Cache, CHS=1826/255/63, UDMA(66)",1
7be06dfe,Partition check:,1
fbdeccd7,hda: hda1 hda2 < hda5 hda6 hda7 hda8 hda9 >,1
1d9bfc43,Floppy drive(s): fd0 is 1.44M,1
0df1ae9c,FDC 0 is a National Semiconductor PC87306,1
9b90a6d6,Serial driver version 5.02 (2000-08-09) with MANY_PORTS MULTIPORT SHARE_IRQ SERIAL_PCI ISAPNP enabled,1
82fbf133,ttyS00 at 0x03f8 (irq = 4) is a 16550A,1
